,FILE_ID,Description,SCHK_Block_count,Agg_SubSystem_count,Hierarchy_depth,LibraryLinked_Count,total_ConnH_cnt,clean_description,clean_description_tokens,combined_clusters
13,17642867,Scripts and tools created by ADI to be used with MATLAB and Simulink with ADI products,2601,174,6,19,2903,script tool create adi adi product,"['script', 'tool', 'create', 'adi', 'adi', 'product']",2
14,17750385,Simulink software for the MPC555-based embedded robot controller,923,71,4,1,1035,software mpc base embed robot controller,"['software', 'mpc', 'base', 'embed', 'robot', 'controller']",2
15,21655911,Examples of Mealy and Moor State Machines in Simulink Stateflow,8,2,2,0,4,example mealy moor state machine stateflow,"['example', 'mealy', 'moor', 'state', 'machine', 'stateflow']",2
16,22338594,Control a Raspberry Pi powered robot with MATLAB and Simulink,153,11,4,0,181,control raspberry power robot,"['control', 'raspberry', 'power', 'robot']",2
17,22542401,A software in the loop simulation using Simulink of a robot based on the model described in http://www.csl.sri.com/~shankar/ModelRob.tar,2962,224,5,0,3867,software loop robot base described http csl sri com shankar modelrob tar,"['software', 'loop', 'robot', 'base', 'described', 'http', 'csl', 'sri', 'com', 'shankar', 'modelrob', 'tar']",2
18,22711541,Stimela is an environment for standardised mathematical models of drinking water treatment processes in Matlab/Simulink,1898,562,3,0,1256,stimela environment standardise mathematical drink water treatment process,"['stimela', 'environment', 'standardise', 'mathematical', 'drink', 'water', 'treatment', 'process']",2
19,24437619,Bus communication layer and data logger for Simulink Real Time (xPC Target),310,24,3,9,333,bus communication layer data logger real time xpc target,"['bus', 'communication', 'layer', 'data', 'logger', 'real', 'time', 'xpc', 'target']",2
20,25926236,Massif is a Matlab Simulink Integration Framework for Eclipse,11689,665,5,0,8090,massif integration framework eclipse,"['massif', 'integration', 'framework', 'eclipse']",2
21,27298557,Various Simulink patches,9,0,1,0,7,various patch,"['various', 'patch']",2
22,27349021,Math model of robot for Simulink course,76,8,3,0,77,math robot course,"['math', 'robot', 'course']",2
23,27591571,Set of simulink s-functions to communicate with ROS,10,1,2,3,8,set function communicate,"['set', 'function', 'communicate']",2
24,27666471,Example of how to model systems with Simulink and generate the code,54,7,3,0,57,example generate code,"['example', 'generate', 'code']",2
25,27724200,An interface between The Open Source Race Car Simulator (TORCS) and MATLAB/Simulink (or anything else...),200,18,5,0,226,interface open source race car torcs anything else,"['interface', 'open', 'source', 'race', 'car', 'torcs', 'anything', 'else']",2
26,28559515,"Using Eigen3 to accelerate Simulink; e.g. matrix multiplication; these s-functions can also be used with Simulink Coder; e.g. to accelearte huge matrix multiplication by using AVX2, FMA, AVX, SSE3, ... on a x86 platform",32,0,1,0,31,eigen accelerate matrix multiplication function also coder accelearte huge matrix multiplication avx fma avx sse platform,"['eigen', 'accelerate', 'matrix', 'multiplication', 'function', 'also', 'coder', 'accelearte', 'huge', 'matrix', 'multiplication', 'avx', 'fma', 'avx', 'sse', 'platform']",2
27,29535877,A repository that captures the derived Lustre and Simulink Design Verifier synchronous observers for the specification patterns work at http://patterns.projects.cis.ksu.edu/,109,18,1,42,162,repository capture derive lustre design verifier synchronous observer specification pattern work http pattern project cis ksu edu,"['repository', 'capture', 'derive', 'lustre', 'design', 'verifier', 'synchronous', 'observer', 'specification', 'pattern', 'work', 'http', 'pattern', 'project', 'cis', 'ksu', 'edu']",2
28,29702360,The LeanPulse System Documents generator (SyD) is a powerful tool enabling easy and fast generation of rich PDF documents from your Simulink® and Xcos models.,750,46,5,2,740,leanpulse document generator syd powerful tool enable easy fast generation rich pdf document xcos,"['leanpulse', 'document', 'generator', 'syd', 'powerful', 'tool', 'enable', 'easy', 'fast', 'generation', 'rich', 'pdf', 'document', 'xcos']",2
29,31180107,Simulink parser using pyparsing,4,0,1,0,3,parser pyparsing,"['parser', 'pyparsing']",2
30,31970765,Test oracle tool for Simulink models (Matlab 2008b),46,3,2,0,53,test oracle tool,"['test', 'oracle', 'tool']",2
31,32599056,Deploy MATLAB Simulink model automatically to Parrot AR Drone with Embedded Coder C code generation,4491,448,7,35,4438,deploy automatically parrot drone embed coder code generation,"['deploy', 'automatically', 'parrot', 'drone', 'embed', 'coder', 'code', 'generation']",2
32,33409723,"Contains C++ microcontoller code, Maltab code, simulink smulations, full reports, and related documents for an FYP in quadcopter control",9422,378,3,0,11113,contains microcontoller code maltab code smulations full report related document fyp quadcopter control,"['contains', 'microcontoller', 'code', 'maltab', 'code', 'smulations', 'full', 'report', 'related', 'document', 'fyp', 'quadcopter', 'control']",2
33,33416377,"Kontinuierliche, analoge Simulation einer Fahrzeugfederung mit MATLAB/Simulink, WinFACT, Scilab / Scicos, WinDORA",49,0,1,0,65,kontinuierliche analoge einer mit winfact scilab scicos windora,"['kontinuierliche', 'analoge', 'einer', 'mit', 'winfact', 'scilab', 'scicos', 'windora']",2
34,33562782,Routines for getting mavlink packets from raw data in Matlab and simulink real-time for use in simulations,33,0,1,0,31,routine get mavlink packet raw data real time,"['routine', 'get', 'mavlink', 'packet', 'raw', 'data', 'real', 'time']",2
35,35040559,"MicroDAQ software package allows using MicroDAQ device with Matlab/Simulink software. Software can be used for data acquisition and for code generation from Simulink diagram. External, PIL, Standalone application can be generated. ",487,45,6,13,382,microdaq software package allow microdaq device software software data acquisition code generation diagram external pil standalone application generate,"['microdaq', 'software', 'package', 'allow', 'microdaq', 'device', 'software', 'software', 'data', 'acquisition', 'code', 'generation', 'diagram', 'external', 'pil', 'standalone', 'application', 'generate']",2
36,35234366,Watchdog timer and counter for simulink,12,2,1,2,11,watchdog timer counter,"['watchdog', 'timer', 'counter']",2
37,35530846,Bibliothèque de composants Matlab/Simulink/Simscape pour l'enseignement des Sciences Industrielles de l'Ingénieur,131,13,2,8,149,bibliothèque composants simscape pour enseignement science industrielles ingénieur,"['bibliothèque', 'composants', 'simscape', 'pour', 'enseignement', 'science', 'industrielles', 'ingénieur']",2
38,35679915,Controller for the ancient IBM SCARA 7575 Robot using Code generated by Matlab Simulink for the STM32 F4,149,5,3,0,180,controller ancient ibm scara robot code generate stm,"['controller', 'ancient', 'ibm', 'scara', 'robot', 'code', 'generate', 'stm']",2
39,38685605,"Quadrotor / UAV Simulator using Matlab, Simulink and Flightgear Visualization",236,12,3,0,327,quadrotor uav flightgear visualization,"['quadrotor', 'uav', 'flightgear', 'visualization']",2
40,39316901,Simulink protobuf modulue,5,0,1,0,3,protobuf modulue,"['protobuf', 'modulue']",2
41,42111127,Deploy MATLAB Simulink model automatically to Parrot AR Drone with Embedded Coder C code generation,2379,235,7,11,2423,deploy automatically parrot drone embed coder code generation,"['deploy', 'automatically', 'parrot', 'drone', 'embed', 'coder', 'code', 'generation']",2
42,42374529,MATLAB/Simulink shenanigans,49,3,2,1,47,,[],2
43,42794568,Example of a C Simulink S-Function block implementing a REDIS connector to interact with a REDIS server.,24,2,2,0,25,example function block implement redis connector interact redis server,"['example', 'function', 'block', 'implement', 'redis', 'connector', 'interact', 'redis', 'server']",2
44,43639573,Software for self driving model car with Cortex M4 and MATLAB Simulink,36,0,1,0,35,software self drive car cortex,"['software', 'self', 'drive', 'car', 'cortex']",2
45,44240452,This repo contain the simulink blockset used during the ASGN&C course held at Politecnico di Milano,30,1,2,3,28,repo contain blockset asgn course hold politecnico milano,"['repo', 'contain', 'blockset', 'asgn', 'course', 'hold', 'politecnico', 'milano']",2
46,45693935,symbolic and concrete execution environment for Simulink,13,0,1,0,10,symbolic concrete execution environment,"['symbolic', 'concrete', 'execution', 'environment']",2
47,46337899,Simulink blockset and MATLAB functions to interface with HackRF devices in real-time,7,0,1,2,3,blockset function interface hackrf device real time,"['blockset', 'function', 'interface', 'hackrf', 'device', 'real', 'time']",2
48,46778395,Simulink/Matlab library and target for data aquisition via the beaglebone black in real-time,21,0,1,0,17,target data aquisition via beaglebone black real time,"['target', 'data', 'aquisition', 'via', 'beaglebone', 'black', 'real', 'time']",2
49,48828287,Matlab/Simulink client to control Crazyflie Quadcopter,161,8,2,3,184,client control crazyflie quadcopter,"['client', 'control', 'crazyflie', 'quadcopter']",2
50,48991644,MATTRANS - A MATLAB(R)/Simulink Power System Transient Stability Simulation Package,53520,6360,7,0,55680,mattrans power transient stability package,"['mattrans', 'power', 'transient', 'stability', 'package']",2
51,49362444,Python Sphinx plugin to include MATLAB Simulink models (e.g. diagrams or information) into .rst documentation,14,2,1,2,8,python sphinx plugin include diagram information rst documentation,"['python', 'sphinx', 'plugin', 'include', 'diagram', 'information', 'rst', 'documentation']",2
52,50119221,A Collection of useful Simulink utilities,44,5,3,0,33,collection useful utility,"['collection', 'useful', 'utility']",2
53,52300953,"Image Processing MATLAB Codes, Simulink, GUI, and Standalone Applications",5,0,1,0,5,image processing code gui standalone application,"['image', 'processing', 'code', 'gui', 'standalone', 'application']",2
54,53871062,MATLAB/Simulink RCK Project,24,1,2,0,27,rck project,"['rck', 'project']",2
55,54549536,Apollo Lunar Lander Simulator with Simulink Control,258,12,2,0,289,apollo lunar lander control,"['apollo', 'lunar', 'lander', 'control']",2
56,56398425,Simulink Model of Planar Arm Movements for Real-Time Control,200,14,3,0,356,planar arm movement real time control,"['planar', 'arm', 'movement', 'real', 'time', 'control']",2
57,56515734,CITY DRAIN 2 is an open source toolbox for integrated modelling of urban drainage systems realized in Matlab/Simulink.,376,60,3,0,276,city drain open source toolbox integrate modelling urban drainage realize,"['city', 'drain', 'open', 'source', 'toolbox', 'integrate', 'modelling', 'urban', 'drainage', 'realize']",2
58,56873326,Fork of https://www.cqse.eu/en/products/simulink-library-for-java/overview/,2959,137,3,6,1949,fork cqse product java overview,"['fork', 'cqse', 'product', 'java', 'overview']",2
59,59244003,A Matlab and Simulink project. The purpose is to control the altitude of a Cessna Citation 500 aircraft.,182,3,2,0,220,project purpose control altitude cessna citation aircraft,"['project', 'purpose', 'control', 'altitude', 'cessna', 'citation', 'aircraft']",2
60,59264907,Examples and Exercises for the Simulink Course 2016-2017,168,4,2,0,162,example exercise course,"['example', 'exercise', 'course']",2
61,60670130,Simulink Simulation of BLDC Motor,121,8,4,0,149,bldc motor,"['bldc', 'motor']",2
62,60685110,Compliant Joint Toolbox (CJT) for MATLAB and Simulink,213,34,2,33,234,compliant joint toolbox cjt,"['compliant', 'joint', 'toolbox', 'cjt']",2
63,65560938,Real time single object tracking in MATLAB/Simulink with Kinect v1.,201,13,4,0,272,real time single object track kinect,"['real', 'time', 'single', 'object', 'track', 'kinect']",2
64,66671966,for reference only -> S function for Simulink integration,25,5,2,0,18,reference function integration,"['reference', 'function', 'integration']",2
65,68183223,Interface between Matlab Simulink simulations and control-based continuation algorithms,171,13,3,0,187,interface control base continuation algorithm,"['interface', 'control', 'base', 'continuation', 'algorithm']",2
66,68744081,Mbed OS 5 Simulink and Embedded Coder Target,1193,39,3,326,1009,mbed embed coder target,"['mbed', 'embed', 'coder', 'target']",2
67,69243304,A Toolbox for Efficient Parameter and Structure Variation of Simulation Models in Simulink,292,54,3,0,217,toolbox efficient parameter structure variation,"['toolbox', 'efficient', 'parameter', 'structure', 'variation']",2
68,73917468,Implement a generic central difference Kalman Filter (CDKF) in MATLAB/ Simulink. matlab.System object,5,0,1,0,4,implement generic central difference kalman filter cdkf object,"['implement', 'generic', 'central', 'difference', 'kalman', 'filter', 'cdkf', 'object']",2
69,74554478,A collection of s-functions that allow to interface kinect2 SDK body tracking system with Matlab Simulink,4,0,1,0,3,collection function allow interface kinect sdk body track,"['collection', 'function', 'allow', 'interface', 'kinect', 'sdk', 'body', 'track']",2
70,80558347,easy-as-pie API to Simulink,229,14,3,3,188,easy pie api,"['easy', 'pie', 'api']",2
71,80744922,A small library intended for controlling KUKA robots using KRC4 over KUKA RSI (Robot Sensor Interface) from Simulink.,11,2,1,2,24,small intend control kuka robot krc kuka rsi robot sensor interface,"['small', 'intend', 'control', 'kuka', 'robot', 'krc', 'kuka', 'rsi', 'robot', 'sensor', 'interface']",2
72,81087471,Drivers and Examples for usage of MATLAB/Simulink with Arduino,55,20,3,9,30,driver example usage arduino,"['driver', 'example', 'usage', 'arduino']",2
73,82338662,Simulink Library for Silicon Photonics Systems Simulation,67,19,2,17,65,silicon photonics,"['silicon', 'photonics']",2
74,82607871,Simulink models used in conjunction with the catvehicle project.,120,4,2,0,156,conjunction catvehicle project,"['conjunction', 'catvehicle', 'project']",2
75,84432307,Matlab code and Simulink blocks for controlling the Kiwi SCARA robot.,60,2,3,0,62,code block control kiwi scara robot,"['code', 'block', 'control', 'kiwi', 'scara', 'robot']",2
76,84924846,Simulink libraries for qbmove device and customizations,101,2,2,14,98,qbmove device customizations,"['qbmove', 'device', 'customizations']",2
77,85336181,"Simulink integration for OpenMETA, built using generic interfaces",14,3,3,0,11,integration openmeta build generic interface,"['integration', 'openmeta', 'build', 'generic', 'interface']",2
78,86669768,"(matlab, simulink)",435,21,3,0,525,,[],2
79,88051120,Modeling RLC circuits response by MATLAB & Simulink,35,3,2,0,37,rlc circuit response,"['rlc', 'circuit', 'response']",2
80,89838221,Simulink implementations of sliding mode and LQR controller for rotary inverted pendulum,112,9,4,0,123,implementation slide mode lqr controller rotary invert pendulum,"['implementation', 'slide', 'mode', 'lqr', 'controller', 'rotary', 'invert', 'pendulum']",2
81,92188415,use simulink to make a little Demo of Noise Canceling HeadPhone. Project of Signals And Systems Spr17@SIST Shanghaitech University.,31,9,2,4,27,make little demo noise cancel headphone project signal spr sist shanghaitech university,"['make', 'little', 'demo', 'noise', 'cancel', 'headphone', 'project', 'signal', 'spr', 'sist', 'shanghaitech', 'university']",2
82,93094843,"The Hybrid Equation (HyEQ) Toolbox is implemented in MATLAB/Simulink for the simulation of hybrid dynamical systems. This toolbox is capable of simulating individual and interconnected hybrid systems with inputs. Examples of systems that can be simulated include a bouncing ball on a moving platform, fireflies synchronizing their flashing, and more. The Simulink implementation includes four basic blocks that define the dynamics of a hybrid system. These include a flow map, flow set, jump map, and jump set. The flows and jumps of the system are computed by the integrator system which is comprised of blocks that compute the continuous dynamics of the hybrid system, trigger jumps, update the state of the system and simulation time at jumps, and stop the simulation. Also includes a “lite simulator” which allows for faster simulation without using Simulink.",2555,343,4,0,2746,hybrid equation hyeq toolbox implement hybrid dynamical toolbox capable individual interconnect hybrid inputs example include bounce ball move platform firefly synchronize flash implementation include four basic block define dynamic hybrid include flow map flow set jump map jump set flow jump compute integrator comprise block compute continuous dynamic hybrid trigger jump update state time jump stop also include lite allows faster without,"['hybrid', 'equation', 'hyeq', 'toolbox', 'implement', 'hybrid', 'dynamical', 'toolbox', 'capable', 'individual', 'interconnect', 'hybrid', 'inputs', 'example', 'include', 'bounce', 'ball', 'move', 'platform', 'firefly', 'synchronize', 'flash', 'implementation', 'include', 'four', 'basic', 'block', 'define', 'dynamic', 'hybrid', 'include', 'flow', 'map', 'flow', 'set', 'jump', 'map', 'jump', 'set', 'flow', 'jump', 'compute', 'integrator', 'comprise', 'block', 'compute', 'continuous', 'dynamic', 'hybrid', 'trigger', 'jump', 'update', 'state', 'time', 'jump', 'stop', 'also', 'include', 'lite', 'allows', 'faster', 'without']",2
83,93149853,Matlab programs and Simulink models,194,27,4,0,187,program,['program'],2
84,93419327,MATLAB/Simulink Physical layer design for wireless modem,1192,87,4,19,1200,physical layer design wireless modem,"['physical', 'layer', 'design', 'wireless', 'modem']",2
85,94040473,Simulink models of the spherical ball robot,456,30,3,0,537,spherical ball robot,"['spherical', 'ball', 'robot']",2
86,96201204,This is a Simulink toolkit for predicting the behaviour of a thermoelectric generator,445,44,5,25,588,toolkit predict behaviour thermoelectric generator,"['toolkit', 'predict', 'behaviour', 'thermoelectric', 'generator']",2
87,96558353,This is a project where an Adaptive Flight Control based on L1 adaptive control is designed and tested using MATLAB/Simulink  [ L1 adaptive control code ],655,59,5,0,681,project adaptive flight control base adaptive control design test adaptive control code,"['project', 'adaptive', 'flight', 'control', 'base', 'adaptive', 'control', 'design', 'test', 'adaptive', 'control', 'code']",2
88,96571805,A CNC simulator in Simulink... a work in progress,81,8,3,0,86,cnc work progress,"['cnc', 'work', 'progress']",2
89,97022596,A MATLAB / Simulink library to work with the Scientific Data Format,8,0,1,2,8,work scientific data format,"['work', 'scientific', 'data', 'format']",2
90,98573039,"Simulink Framework to run MIL, SIL, and HIL.  This example simulates a udp client.",19,3,1,3,15,framework run mil sil hil example udp client,"['framework', 'run', 'mil', 'sil', 'hil', 'example', 'udp', 'client']",2
91,99366228,IRIG-B Signal Generator Code in Matlab/Simulink for use with Real-Time Simulators,59,4,3,0,67,irig signal generator code real time,"['irig', 'signal', 'generator', 'code', 'real', 'time']",2
92,99739521,"Simulink Model to Simulate Low Pass , High Pass , Band Pass , Band Reject and Laplacian Filter",30,0,1,0,20,low pas high pas band pas band reject laplacian filter,"['low', 'pas', 'high', 'pas', 'band', 'pas', 'band', 'reject', 'laplacian', 'filter']",2
93,99894768,Simulink models for electric power systems use cases.,118,0,1,0,290,electric power case,"['electric', 'power', 'case']",2
94,100042416,Tool to compile a Bladed style DLL controller from Simulink for use in OpenFAST or Bladed,259,9,3,0,119,tool compile bladed style dll controller openfast bladed,"['tool', 'compile', 'bladed', 'style', 'dll', 'controller', 'openfast', 'bladed']",2
95,100381142,This repository contains the necessary files/ setup steps /codes to interface the haptic device Omega6 with Simulink,14,0,1,0,22,repository contains necessary file setup step code interface haptic device omega,"['repository', 'contains', 'necessary', 'file', 'setup', 'step', 'code', 'interface', 'haptic', 'device', 'omega']",2
96,100999374,Automated Analysis Framework for Simulink/Stateflow,2420,361,5,111,2600,automate analysis framework stateflow,"['automate', 'analysis', 'framework', 'stateflow']",2
97,101273960,Simple J2 propagator modeled in Simulink,74,5,3,0,78,simple propagator,"['simple', 'propagator']",2
98,101298708,A satellite attitude propagator built upon J2 orbit propagator (with a VRML visualisation option) in Simulink.,99,8,3,0,105,satellite attitude propagator build upon orbit propagator vrml visualisation option,"['satellite', 'attitude', 'propagator', 'build', 'upon', 'orbit', 'propagator', 'vrml', 'visualisation', 'option']",2
99,101492265,A set of Simulink blocks to explore Design Verifier in Flight Controls,1587,69,3,0,1783,set block explore design verifier flight control,"['set', 'block', 'explore', 'design', 'verifier', 'flight', 'control']",2
100,101492962,A Simulink Design Verifier applied to Autopilot Mode Transition,6327,87,3,0,7680,design verifier apply autopilot mode transition,"['design', 'verifier', 'apply', 'autopilot', 'mode', 'transition']",2
101,101493485,This has examples files for exploring Simulink Design Verifier,610,22,3,0,653,example file explore design verifier,"['example', 'file', 'explore', 'design', 'verifier']",2
102,101494013,A Simulink Design Verifier block to switch between proof and test and set requirement tags as well.,23,5,2,0,19,design verifier block switch proof test set requirement tag well,"['design', 'verifier', 'block', 'switch', 'proof', 'test', 'set', 'requirement', 'tag', 'well']",2
103,101503839,Demonstration of Conventional 2 Sensor Attitude Determination using VRML in Simulink,252,17,3,0,265,demonstration conventional sensor attitude determination vrml,"['demonstration', 'conventional', 'sensor', 'attitude', 'determination', 'vrml']",2
104,101972616,Hub for CRPS Simulink models,7,0,1,0,5,hub crp,"['hub', 'crp']",2
105,102132505,My implementation of a insulin-glucose model on MATLAB and Simulink,89,0,1,0,109,implementation insulin glucose,"['implementation', 'insulin', 'glucose']",2
106,102423583,Run your Simulink models as DLLs with Python.,18,0,1,0,14,run dlls python,"['run', 'dlls', 'python']",2
107,102571059,Using MATLAB/Simulink to model a PRR robotic arm with PID Controllers,457,23,3,1,545,prr robotic arm pid controller,"['prr', 'robotic', 'arm', 'pid', 'controller']",2
108,103150316,"Simulink models and MATLAB functions associated with the manuscript ""Anticipation from Sensation: Using Anticipating Synchronisation to Stabilise a System with Inherent Sensory Delay""",294,14,3,0,396,function associate manuscript anticipation sensation anticipate synchronisation stabilise inherent sensory delay,"['function', 'associate', 'manuscript', 'anticipation', 'sensation', 'anticipate', 'synchronisation', 'stabilise', 'inherent', 'sensory', 'delay']",2
109,103269463,Matlab/Simulink model of UUV dynamics,102,6,2,0,113,uuv dynamic,"['uuv', 'dynamic']",2
110,105222275,A Simulink implementation of the geometric controller on a simple Crazyflie model,327,19,3,0,381,implementation geometric controller simple crazyflie,"['implementation', 'geometric', 'controller', 'simple', 'crazyflie']",2
111,105565244,PID Control Project in MATLAB and Simulink for 3rd year controls course ELEC 341 at UBC,494,18,3,0,569,pid control project year control course elec ubc,"['pid', 'control', 'project', 'year', 'control', 'course', 'elec', 'ubc']",2
112,108085380,MAVLink communication support for Simulink,11,0,1,0,9,mavlink communication support,"['mavlink', 'communication', 'support']",2
113,109096281,"This is one of the first approaches to an LTE Simulink model that was developed in the world, back in 2013. It is based on  Turbo Coding, 16-QAM, OFDM and pilots. ",147,23,3,0,133,one first approach lte develop world back base turbo cod qam ofdm pilot,"['one', 'first', 'approach', 'lte', 'develop', 'world', 'back', 'base', 'turbo', 'cod', 'qam', 'ofdm', 'pilot']",2
114,110245018,MATLAB-Simulink code generation library for Arduino SparkFun CAN-BUS Shield,49,4,1,17,53,code generation arduino sparkfun bus shield,"['code', 'generation', 'arduino', 'sparkfun', 'bus', 'shield']",2
115,111106878,Implementation of the SBGC API in Simulink,17,0,1,0,14,implementation sbgc api,"['implementation', 'sbgc', 'api']",2
116,111930670,MATLAB /SIMULINK aplicado em Lego NXT Mindstorm,90,8,4,0,99,aplicado lego nxt mindstorm,"['aplicado', 'lego', 'nxt', 'mindstorm']",2
117,112208578,"Simulink Toolchain Repository for Soft-Realtime code generation with the basic structure, utilising Git submodules, and, some managment scripts.",13,0,1,0,13,toolchain repository soft realtime code generation basic structure utilise git submodules managment script,"['toolchain', 'repository', 'soft', 'realtime', 'code', 'generation', 'basic', 'structure', 'utilise', 'git', 'submodules', 'managment', 'script']",2
118,112226140,The RehaMove3 block for the Soft-Realtime Simulink toolbox found at https://github.com/worldwidemv/SimulinkToolchain.,36,0,1,4,32,rehamove block soft realtime toolbox find github com worldwidemv,"['rehamove', 'block', 'soft', 'realtime', 'toolbox', 'find', 'github', 'com', 'worldwidemv']",2
119,112515499,A ROS node template to embed Simulink generated C++ code,301,4,4,0,303,node template embed generate code,"['node', 'template', 'embed', 'generate', 'code']",2
120,116091662,Analysis of a Nonlinear Electromechanical Plant in Matlab Using Simulink Model,70,4,2,0,76,analysis nonlinear plant,"['analysis', 'nonlinear', 'plant']",2
121,116362118,Synthesis of SS Controller in Matlab using Simulink,8,0,1,0,8,synthesis controller,"['synthesis', 'controller']",2
122,117495868,Python and simulink files to send messages through ethernet(UDP) from linux to MicroAutobox,12,5,6,0,5,python file send message ethernet udp linux microautobox,"['python', 'file', 'send', 'message', 'ethernet', 'udp', 'linux', 'microautobox']",2
123,120771995,Car following model created in Matlab/Simulink using the Intelligent Driver Model (IDM),239,16,3,0,230,car follow create intelligent driver idm,"['car', 'follow', 'create', 'intelligent', 'driver', 'idm']",2
124,121041400,Full system simulation of the Hyperloop pod using Simulink for control system design and Simscape Multibody for CAD import of files.,0,0,1,0,0,full hyperloop pod control design simscape multibody cad import file,"['full', 'hyperloop', 'pod', 'control', 'design', 'simscape', 'multibody', 'cad', 'import', 'file']",2
125,122128733,STM32 PIL example in Simulink,73,2,2,0,42,stm pil example,"['stm', 'pil', 'example']",2
126,122845055,MATLAB/Simulink laboratory files for the UoM 3rd Year Control Systems II course,87,0,1,0,103,laboratory file uom year control course,"['laboratory', 'file', 'uom', 'year', 'control', 'course']",2
127,123222861,Bonsai's Simulink Househeat example using the Universal Coordinator,70,3,2,0,77,bonsai househeat example universal coordinator,"['bonsai', 'househeat', 'example', 'universal', 'coordinator']",2
128,124280856,Kinematic modelling and trajectory planning of a 6 DOF Vika 350 robotic arm mounted on rail (total 7DOF) using Matlab and Simulink.,45,0,1,0,52,kinematic trajectory planning dof vika robotic arm mount rail total dof,"['kinematic', 'trajectory', 'planning', 'dof', 'vika', 'robotic', 'arm', 'mount', 'rail', 'total', 'dof']",2
129,124448612,Simulink simulations of the mechatronics systems,426,33,3,0,398,mechatronics,['mechatronics'],2
130,125677976,Examples of Simulink models on Arduino,83,19,2,20,51,example arduino,"['example', 'arduino']",2
