,id,repo_name,owner_name,is_private,project_url,Description,is_forked,api_url,created_at,updated_at,pushed_at,homepage_url,size_in_kb,stargazers_count,watchers_count,language,forks_count,open_issues_count,master_branch,default_branch,Topics,license,model_files,num_model_file,version_sha,updated-created,desc_word_count,numeric_cluster
34,33409723,Quadcopter-FYP-legacy,Mauvai,0,https://github.com/Mauvai/Quadcopter-FYP-legacy,"Contains C++ microcontoller code, Maltab code, simulink smulations, full reports, and related documents for an FYP in quadcopter control",0,https://api.github.com/repos/Mauvai/Quadcopter-FYP-legacy,2015-04-04 15:15:57.000000,2015-04-04 17:44:36.000000,2015-04-04 17:44:36.000000,,,0,0,Matlab,0,0,,master,,MIT License,"Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Kalman/test (1).slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Kalman/State_space (1).slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Kalman/Kalman_model.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Kalman/Kalman_State_space.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/x-y Control/Yaw_Diff_SS_D_2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/x-y Control/Roll_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/x-y Control/Height_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/x-y Control/Full_Model_D_R5.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/State Space Control/Yaw_Diff_SS_D_2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/State Space Control/Yaw_Diff_SS_C.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/State Space Control/Roll_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/State Space Control/Roll_Diff_SS_C.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/State Space Control/Height_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/MIMO Quadcopter Model/MIMO_Model_D_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Designed Controller and Observer/Full_Model_D_R3 (1).slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/YawModel_R3 (1).slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/YawModel_R2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/YawModel_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/YawModel.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/Pitch_Roll_Control.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/HeightModel.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Digital Control/Full_Model_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_Working_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R5.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R4.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R3.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R3 (1).slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R1_NewNames.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers/Full_Model_Int_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers 2/Full_Model_D_R2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers 2/Full_Model_D_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Archive/Designed Controllers 2/Full_Model_C_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Yaw_Diff_SS_D_2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Roll_Diff_SS_D_No_Integrator.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Roll_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Height_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Full_Model_D_R5.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Full_Model_D_R4_Noise.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Full_Model_D_R4.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/YawModel_R3.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/YawModel_R2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/YawModel_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/YawModel.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/Pitch_Roll_Control.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/HeightModel.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Digital Control/Full_Model_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_Working_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R5.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R4.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R3.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R3 (1).slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R1_NewNames.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers/Full_Model_Int_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers 2/Full_Model_D_R2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers 2/Full_Model_D_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/Adjust Sample Times/Archive/Designed Controllers 2/Full_Model_C_R1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/20ms Sample Time (1)/Yaw_Diff_SS_D_2.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/20ms Sample Time (1)/Roll_Diff_SS_D_No_Integrator.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/20ms Sample Time (1)/Roll_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/20ms Sample Time (1)/Height_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Dump (complete other files)/MATLAB/Control/20ms Sample Time (1)/Full_Model_D_R4.slx,Quadcopter-FYP-legacy-master/Control simulations/Postion Control/Yaw_Diff_SS_D_2.slx,Quadcopter-FYP-legacy-master/Control simulations/Postion Control/Roll_Diff_SS_D_No_Integrator.slx,Quadcopter-FYP-legacy-master/Control simulations/Postion Control/Roll_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Control simulations/Postion Control/Height_Diff_SS_D_1.slx,Quadcopter-FYP-legacy-master/Control simulations/Postion Control/Full_Model_D_R6.slx,",70,161f2842d06d30aad06895efa198dc0ee28a27c2,0,19,0
35,33416377,simulation-fahrzeugfederung,hemmerling,0,https://github.com/hemmerling/simulation-fahrzeugfederung,"Kontinuierliche, analoge Simulation einer Fahrzeugfederung mit MATLAB/Simulink, WinFACT, Scilab / Scicos, WinDORA",0,https://api.github.com/repos/hemmerling/simulation-fahrzeugfederung,2015-04-04 18:55:55.000000,2015-05-03 09:21:31.000000,2015-04-04 19:57:18.000000,,,0,0,,0,0,,master,,Apache License 2.0,"simulation-fahrzeugfederung-master/src/matlab_simulink/fahrbahn1.mdl,simulation-fahrzeugfederung-master/src/matlab_simulink/fahrbahn.mdl,",2,c7a12fbfaf7daf80cfab630c192d4981d775685a,29,12,0
36,33562782,simulink2mavlink,swaroophangal,0,https://github.com/swaroophangal/simulink2mavlink,Routines for getting mavlink packets from raw data in Matlab and simulink real-time for use in simulations,0,https://api.github.com/repos/swaroophangal/simulink2mavlink,2015-04-07 19:08:34.000000,2015-04-07 20:06:02.000000,2015-04-07 20:03:22.000000,,,0,0,C,1,0,,master,,GNU General Public License v2.0,"simulink2mavlink-master/sfunction_test.mdl,simulink2mavlink-master/mex_test.slx,",2,9700812de8661af5910c55950aa2e8cfd2e4036e,0,17,0
37,34874263,RCAMAircraftVisualization,clum,0,https://github.com/clum/RCAMAircraftVisualization,Matlab/Simulink files necessary to visualize and render the Research Civil Aircraft Model (RCAM) simulation.,0,https://api.github.com/repos/clum/RCAMAircraftVisualization,2015-04-30 20:08:59.000000,2015-04-30 20:24:30.000000,2015-05-29 05:37:15.000000,,,0,0,Matlab,11,0,,master,,MIT License,"RCAMAircraftVisualization-master/matlab/AE512Blockset.slx,",1,48e283d7d23f21fa652b8b9a92c8b6bfbcdbe6bc,0,14,0
39,35234366,simulinkWatchdogs,tkw954,0,https://github.com/tkw954/simulinkWatchdogs,Watchdog timer and counter for simulink,0,https://api.github.com/repos/tkw954/simulinkWatchdogs,2015-05-07 17:43:29.000000,2015-05-07 17:43:29.000000,2015-05-07 18:02:55.000000,,,0,0,,0,0,,master,,GNU General Public License v2.0,"simulinkWatchdogs-master/watchdogs/watchdoglib.slx,simulinkWatchdogs-master/watchdogs/test_counter.slx,",2,87e72a3b5f3ae4715fb185de4ce47e4d4cd09552,0,6,0
41,35679915,ibm_scara_7575_controller,fivef,0,https://github.com/fivef/ibm_scara_7575_controller,Controller for the ancient IBM SCARA 7575 Robot using Code generated by Matlab Simulink for the STM32 F4,0,https://api.github.com/repos/fivef/ibm_scara_7575_controller,2015-05-15 14:55:21.000000,2016-01-25 15:17:30.000000,2016-02-20 20:46:32.000000,,,0,0,C,1,0,,master,,GNU General Public License v2.0,"ibm_scara_7575_controller-master/scara_host.mdl,ibm_scara_7575_controller-master/scara_controller.mdl,",2,1de020cf7360c715f1932ed3b1ca9cc09f16af94,255,18,0
43,39316901,protosim,afking,0,https://github.com/afking/protosim,Simulink protobuf modulue,0,https://api.github.com/repos/afking/protosim,2015-07-19 00:18:37.000000,2015-07-22 13:55:22.000000,2015-07-25 20:51:17.000000,,,0,0,C++,0,0,,master,,MIT License,"protosim-master/protosim.slx,protosim-master/packet.slx,",2,91dfc26ec3c514ead34f418a3fdf635efb41b762,3,3,0
44,42111127,Simulink_AR_Drone,raphael-roy,0,https://github.com/raphael-roy/Simulink_AR_Drone,Deploy MATLAB Simulink model automatically to Parrot AR Drone with Embedded Coder C code generation,0,https://api.github.com/repos/raphael-roy/Simulink_AR_Drone,2015-09-08 12:35:16.000000,2015-09-08 13:01:08.000000,2015-11-17 19:18:14.000000,,,0,0,C,2,0,,master,,"BSD 3-Clause ""New"" or ""Revised"" License","Simulink_AR_Drone-master/AR_Drone_Target/blocks/videolib/changeDetection.slx,Simulink_AR_Drone-master/AR_Drone_Target/blocks/videolib/ARdrone_video_lib.slx,Simulink_AR_Drone-master/AR_Drone_Target/blocks/Navigation_Lib.slx,Simulink_AR_Drone-master/AR_Drone_Target/blocks/Navigation_KF_Subsystem_child.slx,Simulink_AR_Drone-master/AR_Drone_Target/blocks/Navigation_KF_Lib.slx,Simulink_AR_Drone-master/AR_Drone_Target/blocks/AR_Drone_2_Library.slx,Simulink_AR_Drone-master/AR_Drone_Models/Hello_World/Hello_World.slx,Simulink_AR_Drone-master/AR_Drone_Models/Flight_Models/AR_Drone_Mission_Height.slx,Simulink_AR_Drone-master/AR_Drone_Models/Flight_Models/AR_Drone_Host_Receive.slx,Simulink_AR_Drone-master/AR_Drone_Models/Flight_Models/AR_Drone_Flight_Control.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/Record_data.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/Magnetometer_calib/MeasureMag.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/GyrometerTemp_Offset_Calib/TempMeasure.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/GyrometerTemp_Offset_Calib/TempCorrect_Offline.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/Auto_quick_calib/Get_Horizontal_Measures.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/Accelerometer_calib/Record_accelerometer.slx,Simulink_AR_Drone-master/AR_Drone_Models/Calibration/Accelerometer_calib/PlayBack_Data.slx,",17,079cb184e78ee940721cdf0cadc4c60ce42f008d,0,15,0
45,42374529,fluffy-woof,max-svayav,0,https://github.com/max-svayav/fluffy-woof,MATLAB/Simulink shenanigans,0,https://api.github.com/repos/max-svayav/fluffy-woof,2015-09-12 21:55:54.000000,2015-09-12 23:17:38.000000,2015-09-13 09:12:27.000000,,,0,0,C++,0,0,,master,,Other,"fluffy-woof-master/yamashev.slx,",1,541e81c524dc3bd322c7ecb5bc88292d1df3a44d,0,2,0
47,43639573,HTWAA_car_32b,janhieber,0,https://github.com/janhieber/HTWAA_car_32b,Software for self driving model car with Cortex M4 and MATLAB Simulink,0,https://api.github.com/repos/janhieber/HTWAA_car_32b,2015-10-04 14:42:47.000000,2015-10-06 09:03:13.000000,2015-10-06 09:02:51.000000,,,0,0,C,0,0,,master,,MIT License,"HTWAA_car_32b-master/Test_Stateflow/Test_Stateflow.slx,HTWAA_car_32b-master/Test_SPI/Test_SPI.slx,HTWAA_car_32b-master/Test_PWM/Test_PWM.slx,HTWAA_car_32b-master/Test_GPIO/Test_GPIO.slx,",4,c306660a0ba09e8e54e775c23475d61f4751bf96,2,12,0
48,44240452,skyward-blimp-blockset,skyward-er,0,https://github.com/skyward-er/skyward-blimp-blockset,This repo contain the simulink blockset used during the ASGN&C course held at Politecnico di Milano,0,https://api.github.com/repos/skyward-er/skyward-blimp-blockset,2015-10-14 10:24:11.000000,2016-01-12 16:24:20.000000,2015-10-14 10:26:34.000000,,,0,0,C++,1,0,,master,,Other,"skyward-blimp-blockset-master/examples/quotePID.slx,skyward-blimp-blockset-master/examples/CompassPID.slx,skyward-blimp-blockset-master/SkywardBLIMP_back.slx,skyward-blimp-blockset-master/SkywardBLIMP.slx,",4,3b44109afd9aa2f38607da0a8ff4b2fc846c6ff9,90,16,0
49,45693935,sym-simulink,cy94,0,https://github.com/cy94/sym-simulink,symbolic and concrete execution environment for Simulink,0,https://api.github.com/repos/cy94/sym-simulink,2015-11-06 16:39:59.000000,2015-12-01 17:01:15.000000,2015-12-01 17:01:14.000000,,,0,0,Matlab,1,0,,master,,MIT License,"sym-simulink-master/models/sine.slx,sym-simulink-master/models/simple.slx,sym-simulink-master/models/constants.slx,",3,f1f8c67e88c9b1433a84d18c3969695963ad3908,25,7,0
53,48828287,crazyflie-client-matlab,aruneinstein,0,https://github.com/aruneinstein/crazyflie-client-matlab,Matlab/Simulink client to control Crazyflie Quadcopter,0,https://api.github.com/repos/aruneinstein/crazyflie-client-matlab,2015-12-31 02:08:14.000000,2016-03-04 23:28:18.000000,2015-09-02 03:06:47.000000,,,0,0,C++,3,0,,master,,MIT License,"crazyflie-client-matlab-master/Optitrack/Optitrack.slx,crazyflie-client-matlab-master/CrazyFlie_lib/test_simple.slx,crazyflie-client-matlab-master/CrazyFlie_lib/CrazyFlie_lib.slx,crazyflie-client-matlab-master/CrazyFlie_PosCntrl.slx,",4,875f6a3039f0aea17d87509d0496e967675de525,64,6,0
55,49362444,sphinx-simulink,dekalinowski,0,https://github.com/dekalinowski/sphinx-simulink,Python Sphinx plugin to include MATLAB Simulink models (e.g. diagrams or information) into .rst documentation,0,https://api.github.com/repos/dekalinowski/sphinx-simulink,2016-01-10 10:30:39.000000,2017-12-06 00:58:05.000000,2016-06-24 15:28:49.000000,,,1,1,Python,1,0,,master,,MIT License,"sphinx-simulink-master/example/Simulink/ModelReferencePath/ExampleSubsystem.slx,sphinx-simulink-master/example/Simulink/LibraryPath/ExampleLibrary.slx,sphinx-simulink-master/example/Simulink/ExampleSystem.slx,",3,f86daf2efdd7b0c84307bfb17c23efff0c72a8a9,696,15,0
58,53871062,RCK_Project,kdeeleymath,0,https://github.com/kdeeleymath/RCK_Project,MATLAB/Simulink RCK Project,0,https://api.github.com/repos/kdeeleymath/RCK_Project,2016-03-14 16:06:52.000000,2016-03-14 16:09:18.000000,2016-10-13 15:23:32.000000,,,0,0,Matlab,0,0,,master,,"BSD 3-Clause ""New"" or ""Revised"" License","RCK_Project-master/RCK_Model.slx,",1,27f151512ba391836e8b75fded8abe1f2a99036e,0,3,0
59,54549536,apollo,dagothar,0,https://github.com/dagothar/apollo,Apollo Lunar Lander Simulator with Simulink Control,0,https://api.github.com/repos/dagothar/apollo,2016-03-23 10:05:20.000000,2016-03-23 10:08:14.000000,2016-03-23 10:25:26.000000,,,0,0,C,0,0,,master,,MIT License,"apollo-master/apollo/simulink/r.mdl,apollo-master/apollo/simulink/m.mdl,apollo-master/apollo/simulink/autopilot.mdl,",3,784126f71cebd4ff6c74dce17a6002b9e95980ac,0,7,0
60,56398425,PlanarUEModel,haniawni,0,https://github.com/haniawni/PlanarUEModel,Simulink Model of Planar Arm Movements for Real-Time Control,0,https://api.github.com/repos/haniawni/PlanarUEModel,2016-04-16 18:07:37.000000,2016-04-26 23:53:14.000000,2016-08-28 23:27:54.000000,,,0,0,Mercury,0,0,,master,,Apache License 2.0,"PlanarUEModel-master/plant.slx,",1,a9b87f760181794d2752624f7ee685c7f44b8132,10,9,0
61,56515734,CityDrain2,iut-ibk,0,https://github.com/iut-ibk/CityDrain2,CITY DRAIN 2 is an open source toolbox for integrated modelling of urban drainage systems realized in Matlab/Simulink.,0,https://api.github.com/repos/iut-ibk/CityDrain2,2016-04-18 14:41:00.000000,2017-11-11 17:59:46.000000,2016-04-19 09:04:09.000000,https://www.uibk.ac.at/umwelttechnik/softwareanddatasets/index.html#CityDrain12,,1,1,Matlab,2,0,,master,,GNU General Public License v2.0,"CityDrain2-master/CD2_Special_WWTP_CD2RUMBA.mdl,CityDrain2-master/CD2_Special_Infiltration_v01.mdl,CityDrain2-master/CD2_Library.mdl,CityDrain2-master/CD01_outdated/CD1_CityDrain_Library_outdated.mdl,",4,dd6115997e20cf44924a949df748175dd5ee47a6,572,18,0
